id	gold_label	gold_label_subtype
000102_Davenport_Dorian-Hunter-32---Horror-Seri_9783732590193.json_0_12	reader-information	advertisement
000102_Davenport_Dorian-Hunter-32---Horror-Seri_9783732590193.json_0_14	reader-information	advertisement
000137_Ein_Prinz_zum_Verlieben_-_Mindy_Neff.json_4_0	title-page	none
000137_Ein_Prinz_zum_Verlieben_-_Mindy_Neff.json_4_1	reader-information	framing
000137_Ein_Prinz_zum_Verlieben_-_Mindy_Neff.json_5_0	title-page	none
000137_Ein_Prinz_zum_Verlieben_-_Mindy_Neff.json_5_1	reader-information	framing
000137_Ein_Prinz_zum_Verlieben_-_Mindy_Neff.json_5_2	chapter	none
000137_Ein_Prinz_zum_Verlieben_-_Mindy_Neff.json_5_13	chapter	none
000137_Ein_Prinz_zum_Verlieben_-_Mindy_Neff.json_6_0	title-page	none
000137_Ein_Prinz_zum_Verlieben_-_Mindy_Neff.json_6_1	reader-information	framing
000137_Ein_Prinz_zum_Verlieben_-_Mindy_Neff.json_6_2	chapter	none
000137_Ein_Prinz_zum_Verlieben_-_Mindy_Neff.json_6_13	chapter	none
000137_Ein_Prinz_zum_Verlieben_-_Mindy_Neff.json_6_14	reader-information	advertisement
000151_Fernthaler_Alpengold-265_9783732560165.json_0_1	toc	none
000151_Fernthaler_Alpengold-265_9783732560165.json_0_2	imprint	none
000151_Fernthaler_Alpengold-265_9783732560165.json_0_3	reader-information	framing
000151_Fernthaler_Alpengold-265_9783732560165.json_0_5	reader-information	advertisement
000151_Fernthaler_Alpengold-265_9783732560165.json_0_6	feedback	none
000151_Fernthaler_Alpengold-265_9783732560165.json_0_7	reader-information	advertisement
000253_Hoffmann_Tiffany-Extra-Hot-_-Sexy-Band-_9783733752859.json_5_0	title-page	none
000253_Hoffmann_Tiffany-Extra-Hot-_-Sexy-Band-_9783733752859.json_5_1	chapter	none
000253_Hoffmann_Tiffany-Extra-Hot-_-Sexy-Band-_9783733752859.json_7_0	title-page	none
000253_Hoffmann_Tiffany-Extra-Hot-_-Sexy-Band-_9783733752859.json_8_0	title-page	none
000299_JULIA_EXTRA_BAND_405_-_Melanie_Milburne,_Sara_Craven,_.json_5_0	title-page	none
000299_JULIA_EXTRA_BAND_405_-_Melanie_Milburne,_Sara_Craven,_.json_5_6	chapter	none
000299_JULIA_EXTRA_BAND_405_-_Melanie_Milburne,_Sara_Craven,_.json_6_0	title-page	none
000299_JULIA_EXTRA_BAND_405_-_Melanie_Milburne,_Sara_Craven,_.json_6_2	chapter	none
000299_JULIA_EXTRA_BAND_405_-_Melanie_Milburne,_Sara_Craven,_.json_6_4	chapter	none
000299_JULIA_EXTRA_BAND_405_-_Melanie_Milburne,_Sara_Craven,_.json_6_6	chapter	none
000299_JULIA_EXTRA_BAND_405_-_Melanie_Milburne,_Sara_Craven,_.json_6_10	chapter	none
000299_JULIA_EXTRA_BAND_405_-_Melanie_Milburne,_Sara_Craven,_.json_7_0	title-page	none
000299_JULIA_EXTRA_BAND_405_-_Melanie_Milburne,_Sara_Craven,_.json_7_3	chapter	none
000299_JULIA_EXTRA_BAND_405_-_Melanie_Milburne,_Sara_Craven,_.json_8_0	title-page	none
000299_JULIA_EXTRA_BAND_405_-_Melanie_Milburne,_Sara_Craven,_.json_8_3	chapter	none
000299_JULIA_EXTRA_BAND_405_-_Melanie_Milburne,_Sara_Craven,_.json_8_5	chapter	none
000335_Jackson_Collection-Baccara-Band-363_9783733722692.json_5_0	title-page	none
000335_Jackson_Collection-Baccara-Band-363_9783733722692.json_5_6	chapter	none
000335_Jackson_Collection-Baccara-Band-363_9783733722692.json_5_7	chapter	none
000335_Jackson_Collection-Baccara-Band-363_9783733722692.json_5_9	chapter	none
000335_Jackson_Collection-Baccara-Band-363_9783733722692.json_6_0	title-page	none
000335_Jackson_Collection-Baccara-Band-363_9783733722692.json_6_1	chapter	none
000335_Jackson_Collection-Baccara-Band-363_9783733722692.json_6_3	chapter	none
000335_Jackson_Collection-Baccara-Band-363_9783733722692.json_6_6	chapter	none
000335_Jackson_Collection-Baccara-Band-363_9783733722692.json_7_0	title-page	none
000335_Jackson_Collection-Baccara-Band-363_9783733722692.json_7_11	chapter	none
000336_James_Baccara-Spezial-Band-5_9783733729264.json_5_0	title-page	none
000336_James_Baccara-Spezial-Band-5_9783733729264.json_5_11	chapter	none
000336_James_Baccara-Spezial-Band-5_9783733729264.json_5_13	chapter	none
000336_James_Baccara-Spezial-Band-5_9783733729264.json_5_15	chapter	none
000336_James_Baccara-Spezial-Band-5_9783733729264.json_6_1	chapter	none
000336_James_Baccara-Spezial-Band-5_9783733729264.json_6_13	chapter	none
000336_James_Baccara-Spezial-Band-5_9783733729264.json_6_15	chapter	none
000336_James_Baccara-Spezial-Band-5_9783733729264.json_7_0	title-page	none
000336_James_Baccara-Spezial-Band-5_9783733729264.json_7_16	chapter	none
000341_Jerry_Cotton_-_Folge_3051__Zeit_-_Cotton,_Jerry.json_0_0	cover-image	none
000341_Jerry_Cotton_-_Folge_3051__Zeit_-_Cotton,_Jerry.json_0_1	toc	none
000341_Jerry_Cotton_-_Folge_3051__Zeit_-_Cotton,_Jerry.json_0_2	imprint	none
000341_Jerry_Cotton_-_Folge_3051__Zeit_-_Cotton,_Jerry.json_0_3	reader-information	preview
000341_Jerry_Cotton_-_Folge_3051__Zeit_-_Cotton,_Jerry.json_0_5	reader-information	preview
000341_Jerry_Cotton_-_Folge_3051__Zeit_-_Cotton,_Jerry.json_0_6	feedback	none
000341_Jerry_Cotton_-_Folge_3051__Zeit_-_Cotton,_Jerry.json_0_7	reader-information	advertisement
000347_Jerry_Cotton_-_Folge_3083__Verw_-_Cotton,_Jerry.json_0_0	cover-image	none
000347_Jerry_Cotton_-_Folge_3083__Verw_-_Cotton,_Jerry.json_0_1	toc	none
000347_Jerry_Cotton_-_Folge_3083__Verw_-_Cotton,_Jerry.json_0_2	imprint	none
000347_Jerry_Cotton_-_Folge_3083__Verw_-_Cotton,_Jerry.json_0_3	chapter	none
000347_Jerry_Cotton_-_Folge_3083__Verw_-_Cotton,_Jerry.json_0_5	reader-information	preview
000347_Jerry_Cotton_-_Folge_3083__Verw_-_Cotton,_Jerry.json_0_6	feedback	none
000347_Jerry_Cotton_-_Folge_3083__Verw_-_Cotton,_Jerry.json_0_7	reader-information	advertisement
000449_John_Sinclair_-_Folge_0008_-_Jason_Dark.json_0_0	cover-image	none
000449_John_Sinclair_-_Folge_0008_-_Jason_Dark.json_0_1	toc	none
000449_John_Sinclair_-_Folge_0008_-_Jason_Dark.json_0_2	reader-information	meta-information
000449_John_Sinclair_-_Folge_0008_-_Jason_Dark.json_0_3	reader-information	meta-information
000449_John_Sinclair_-_Folge_0008_-_Jason_Dark.json_0_4	author-information	none
000449_John_Sinclair_-_Folge_0008_-_Jason_Dark.json_0_5	imprint	none
000449_John_Sinclair_-_Folge_0008_-_Jason_Dark.json_0_6	chapter	none
000449_John_Sinclair_-_Folge_0008_-_Jason_Dark.json_0_8	reader-information	advertisement
000449_John_Sinclair_-_Folge_0008_-_Jason_Dark.json_0_9	feedback	none
000533_Kufsteiner_Das-Berghotel-112_9783732528110.json_0_1	toc	none
000533_Kufsteiner_Das-Berghotel-112_9783732528110.json_0_2	imprint	none
000533_Kufsteiner_Das-Berghotel-112_9783732528110.json_0_3	reader-information	framing
000533_Kufsteiner_Das-Berghotel-112_9783732528110.json_0_4	chapter	none
000533_Kufsteiner_Das-Berghotel-112_9783732528110.json_0_5	reader-information	preview
000533_Kufsteiner_Das-Berghotel-112_9783732528110.json_0_6	feedback	none
000533_Kufsteiner_Das-Berghotel-112_9783732528110.json_0_7	reader-information	advertisement
000566_Kufsteiner_Das-Berghotel-203_9783732586653.json_0_0	cover-image	none
000566_Kufsteiner_Das-Berghotel-203_9783732586653.json_0_1	toc	none
000566_Kufsteiner_Das-Berghotel-203_9783732586653.json_0_2	imprint	none
000566_Kufsteiner_Das-Berghotel-203_9783732586653.json_0_4	reader-information	advertisement
000566_Kufsteiner_Das-Berghotel-203_9783732586653.json_0_6	reader-information	advertisement
000606_Kufsteiner_Der-Bergdoktor-1757_9783732509645.json_0_1	toc	none
000606_Kufsteiner_Der-Bergdoktor-1757_9783732509645.json_0_2	imprint	none
000606_Kufsteiner_Der-Bergdoktor-1757_9783732509645.json_0_3	reader-information	preview	
000606_Kufsteiner_Der-Bergdoktor-1757_9783732509645.json_0_5	reader-information	preview
000606_Kufsteiner_Der-Bergdoktor-1757_9783732509645.json_0_6	feedback	none
000606_Kufsteiner_Der-Bergdoktor-1757_9783732509645.json_0_7	reader-informatin	advertisement
000633_Laurent_Fuersten-Roman-2598_9783732592258.json_0_0	cover-image	none
000633_Laurent_Fuersten-Roman-2598_9783732592258.json_0_1	toc	none
000633_Laurent_Fuersten-Roman-2598_9783732592258.json_0_2	imprint	none
000633_Laurent_Fuersten-Roman-2598_9783732592258.json_0_4	reader-information	preview
000633_Laurent_Fuersten-Roman-2598_9783732592258.json_0_6	reader-information	advertisement
000698_Monroe_Julia-Extra-Band-370_9783954467396.json_5_0	title-page	none
000698_Monroe_Julia-Extra-Band-370_9783954467396.json_6_0	title-page	none
000698_Monroe_Julia-Extra-Band-370_9783954467396.json_7_0	title-page	none
000698_Monroe_Julia-Extra-Band-370_9783954467396.json_7_13	chapter	none
000698_Monroe_Julia-Extra-Band-370_9783954467396.json_8_0	title-page	none
000698_Monroe_Julia-Extra-Band-370_9783954467396.json_8_1	chapter	none
000698_Monroe_Julia-Extra-Band-370_9783954467396.json_8_16	chapter	none
000779_Schuder_Das-Haus-Zamis-20_9783751717670.json_0_1	toc	none
000779_Schuder_Das-Haus-Zamis-20_9783751717670.json_0_2	reader-information	meta-information
000779_Schuder_Das-Haus-Zamis-20_9783751717670.json_0_3	chapter	none
000779_Schuder_Das-Haus-Zamis-20_9783751717670.json_0_6	chapter	none
000779_Schuder_Das-Haus-Zamis-20_9783751717670.json_0_9	reader-information	preview
000779_Schuder_Das-Haus-Zamis-20_9783751717670.json_0_11	imprint	none
000779_Schuder_Das-Haus-Zamis-20_9783751717670.json_0_12	reader-information	advertisement
000796_Seeberg_Fuersten-Roman-2631_9783751711548.json_0_0	cover-image	none
000796_Seeberg_Fuersten-Roman-2631_9783751711548.json_0_1	toc	none
000796_Seeberg_Fuersten-Roman-2631_9783751711548.json_0_3	reader-information	preview
000796_Seeberg_Fuersten-Roman-2631_9783751711548.json_0_5	imprint	none
000796_Seeberg_Fuersten-Roman-2631_9783751711548.json_0_6	reader-information	advertisement
000803_Shalvis_Tiffany-Extra-Band-3_9783954466764.json_5_0	title-page	none
000803_Shalvis_Tiffany-Extra-Band-3_9783954466764.json_5_7	chapter	none
000803_Shalvis_Tiffany-Extra-Band-3_9783954466764.json_5_9	chapter	none
000803_Shalvis_Tiffany-Extra-Band-3_9783954466764.json_5_10	chapter	none
000803_Shalvis_Tiffany-Extra-Band-3_9783954466764.json_5_11	chapter	none
000803_Shalvis_Tiffany-Extra-Band-3_9783954466764.json_6_0	title-page	none
000803_Shalvis_Tiffany-Extra-Band-3_9783954466764.json_6_5	chapter	none
000803_Shalvis_Tiffany-Extra-Band-3_9783954466764.json_6_6	chapter	none
000803_Shalvis_Tiffany-Extra-Band-3_9783954466764.json_6_12	chapter	none
000803_Shalvis_Tiffany-Extra-Band-3_9783954466764.json_7_0	title-page	none
000803_Shalvis_Tiffany-Extra-Band-3_9783954466764.json_7_4	chapter	none
000803_Shalvis_Tiffany-Extra-Band-3_9783954466764.json_7_5	chapter	none
000803_Shalvis_Tiffany-Extra-Band-3_9783954466764.json_7_6	chapter	none
000803_Shalvis_Tiffany-Extra-Band-3_9783954466764.json_7_8	chapter	none
000803_Shalvis_Tiffany-Extra-Band-3_9783954466764.json_8_0	title-page	
000803_Shalvis_Tiffany-Extra-Band-3_9783954466764.json_8_7	chapter	none
000803_Shalvis_Tiffany-Extra-Band-3_9783954466764.json_8_9	chapter	none
000803_Shalvis_Tiffany-Extra-Band-3_9783954466764.json_8_14	chapter	none
000803_Shalvis_Tiffany-Extra-Band-3_9783954466764.json_8_16	chapter	none
000837_Stern_Maddrax-347_9783838733357.json_0_1	toc	none
000837_Stern_Maddrax-347_9783838733357.json_0_2	imprint	none
000837_Stern_Maddrax-347_9783838733357.json_0_3	reader-information	meta-information
000837_Stern_Maddrax-347_9783838733357.json_0_4	chapter	none
000837_Stern_Maddrax-347_9783838733357.json_0_7	feedback	none
000837_Stern_Maddrax-347_9783838733357.json_0_8	reader-information	meta-information
000837_Stern_Maddrax-347_9783838733357.json_0_9	reader-information	
000837_Stern_Maddrax-347_9783838733357.json_0_10	feedback	none
000837_Stern_Maddrax-347_9783838733357.json_0_11	reader-information	advertisement
000871_Vlcek_Das-Haus-Zamis-3_9783751705271.json_0_0	cover-image	none
000871_Vlcek_Das-Haus-Zamis-3_9783751705271.json_0_1	toc	none
000871_Vlcek_Das-Haus-Zamis-3_9783751705271.json_0_2	imprint	none
000871_Vlcek_Das-Haus-Zamis-3_9783751705271.json_0_3	reader-information	meta-information
000871_Vlcek_Das-Haus-Zamis-3_9783751705271.json_0_4	reader-information	preview
000871_Vlcek_Das-Haus-Zamis-3_9783751705271.json_0_6	chapter	none
000871_Vlcek_Das-Haus-Zamis-3_9783751705271.json_0_11	reader-information	preview
000871_Vlcek_Das-Haus-Zamis-3_9783751705271.json_0_13	reader-information	advertisement
000879_Vlcek_Dorian-Hunter-19---Horror-Seri_9783732580606.json_0_1	toc	none
000879_Vlcek_Dorian-Hunter-19---Horror-Seri_9783732580606.json_0_2	imprint	none
000879_Vlcek_Dorian-Hunter-19---Horror-Seri_9783732580606.json_0_3	reader-information	meta-information
000879_Vlcek_Dorian-Hunter-19---Horror-Seri_9783732580606.json_0_4		
000879_Vlcek_Dorian-Hunter-19---Horror-Seri_9783732580606.json_0_7	chapter	none
000879_Vlcek_Dorian-Hunter-19---Horror-Seri_9783732580606.json_0_11	reader-information	preview
000879_Vlcek_Dorian-Hunter-19---Horror-Seri_9783732580606.json_0_12	reader-information	advertisement
000879_Vlcek_Dorian-Hunter-19---Horror-Seri_9783732580606.json_0_14	reader-information	advertisement
000887_Vlcek_Dorian-Hunter-46---Horror-Seri_9783732597987.json_0_0	cover-image	none
000887_Vlcek_Dorian-Hunter-46---Horror-Seri_9783732597987.json_0_1	toc	none
000887_Vlcek_Dorian-Hunter-46---Horror-Seri_9783732597987.json_0_2	imprint	none
000887_Vlcek_Dorian-Hunter-46---Horror-Seri_9783732597987.json_0_3	reader-information	meta-information
000887_Vlcek_Dorian-Hunter-46---Horror-Seri_9783732597987.json_0_4		
000887_Vlcek_Dorian-Hunter-46---Horror-Seri_9783732597987.json_0_10	reader-information	meta-information
000887_Vlcek_Dorian-Hunter-46---Horror-Seri_9783732597987.json_0_11	reader-information	preview
000887_Vlcek_Dorian-Hunter-46---Horror-Seri_9783732597987.json_0_13	reader-information	advertisement
000906_Warren_Dorian-Hunter-33---Horror-Seri_9783732590209.json_0_1	toc	none
000906_Warren_Dorian-Hunter-33---Horror-Seri_9783732590209.json_0_2	imprint	none
000906_Warren_Dorian-Hunter-33---Horror-Seri_9783732590209.json_0_3	reader-information	meta-information
000906_Warren_Dorian-Hunter-33---Horror-Seri_9783732590209.json_0_4		
000906_Warren_Dorian-Hunter-33---Horror-Seri_9783732590209.json_0_10		
000906_Warren_Dorian-Hunter-33---Horror-Seri_9783732590209.json_0_11	reader-information	advertisement
000906_Warren_Dorian-Hunter-33---Horror-Seri_9783732590209.json_0_13	reader-information	advertisement
000929_Winters_Das-Herz-des-griechischen-Mill_9783733727321.json_4_2	imprint	none
000929_Winters_Das-Herz-des-griechischen-Mill_9783733727321.json_6_15	chapter	none
