timestamp,chunk_id,status,strategy,wrapped_div,uncertain_found,unknown_type_found,error_message
2026-01-27T15:57:16.084836,G. F. Unger Sonder-Edition - Folge 003_ Texas-Marshal (German Edition)_02,Error,non-chapter,None,no,no,"Error response 429 while fetching https://openrouter.ai/api/v1/chat/completions: {""error"":{""message"":""Provider returned error"",""code"":429,""metadata"":{""raw"":""qwen/qwen3-next-80b-a3b-instruct:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations"",""provider_name"":""Venice"",""is_byok"":false}},""user_id"":""user_2zK4oiRZXJA8BryuPDvbkCoeD9h""}"
2026-01-27T15:57:37.136155,G. F. Unger Sonder-Edition - Folge 003_ Texas-Marshal (German Edition)_03,Error,non-chapter,None,no,no,"Error response 429 while fetching https://openrouter.ai/api/v1/chat/completions: {""error"":{""message"":""Provider returned error"",""code"":429,""metadata"":{""raw"":""qwen/qwen3-next-80b-a3b-instruct:free is temporarily rate-limited upstream. Please retry shortly, or add your own key to accumulate your rate limits: https://openrouter.ai/settings/integrations"",""provider_name"":""Venice"",""is_byok"":false}},""user_id"":""user_2zK4oiRZXJA8BryuPDvbkCoeD9h""}"
2026-01-27T15:57:52.961248,G. F. Unger Sonder-Edition - Folge 003_ Texas-Marshal (German Edition)_04,Error,non-chapter,None,no,no,"Error response 429 while fetching https://openrouter.ai/api/v1/chat/completions: {""error"":{""message"":""Rate limit exceeded: limit_rpm/qwen/qwen3-next-80b-a3b-instruct-2509/94248808-ba97-4e3c-be60-1cb0928db51d. High demand for qwen/qwen3-next-80b-a3b-instruct:free on OpenRouter - limited to 8 requests per minute. Please retry shortly."",""code"":429,""metadata"":{""headers"":{""X-RateLimit-Limit"":""8"",""X-RateLimit-Remaining"":""0"",""X-RateLimit-Reset"":""1769525880000""},""provider_name"":null}},""user_id"":""user_2zK4oiRZXJA8BryuPDvbkCoeD9h""}"
2026-01-27T17:48:24.355297,G. F. Unger Sonder-Edition - Folge 003_ Texas-Marshal (German Edition)_01,Error,non-chapter,None,no,no,"Error code: 401 - {'error': {'message': 'Authentication Fails, Your api key: ****0ba9 is invalid', 'type': 'authentication_error', 'param': None, 'code': 'invalid_request_error'}}"
2026-01-27T17:48:40.647175,G. F. Unger Sonder-Edition - Folge 003_ Texas-Marshal (German Edition)_02,Error,non-chapter,None,no,no,"Error code: 401 - {'error': {'message': 'Authentication Fails, Your api key: ****0ba9 is invalid', 'type': 'authentication_error', 'param': None, 'code': 'invalid_request_error'}}"
2026-01-27T17:48:56.948370,G. F. Unger Sonder-Edition - Folge 003_ Texas-Marshal (German Edition)_03,Error,non-chapter,None,no,no,"Error code: 401 - {'error': {'message': 'Authentication Fails, Your api key: ****0ba9 is invalid', 'type': 'authentication_error', 'param': None, 'code': 'invalid_request_error'}}"
2026-01-27T17:49:13.298275,G. F. Unger Sonder-Edition - Folge 003_ Texas-Marshal (German Edition)_04,Error,non-chapter,None,no,no,"Error code: 401 - {'error': {'message': 'Authentication Fails, Your api key: ****0ba9 is invalid', 'type': 'authentication_error', 'param': None, 'code': 'invalid_request_error'}}"
2026-01-27T17:55:17.699908,G. F. Unger Sonder-Edition - Folge 003_ Texas-Marshal (German Edition)_01,Success,non-chapter,LLM-Wrapped,no,YES (<div type='unknown'>),
2026-01-27T17:56:06.800170,G. F. Unger Sonder-Edition - Folge 003_ Texas-Marshal (German Edition)_02,Success,non-chapter,LLM-Wrapped,no,no,
2026-01-27T17:56:57.259482,G. F. Unger Sonder-Edition - Folge 003_ Texas-Marshal (German Edition)_03,Success,non-chapter,LLM-Wrapped,no,no,
2026-01-27T17:57:59.256391,G. F. Unger Sonder-Edition - Folge 003_ Texas-Marshal (German Edition)_04,Success,non-chapter,LLM-Wrapped,no,no,
2026-01-27T18:44:14.748082,000887_Vlcek_Dorian-Hunter-46---Horror-Seri_9783732597987_14,Success,non-chapter,LLM-Wrapped,no,no,
2026-01-27T19:29:53.641305,G. F. Unger Sonder-Edition - Folge 003_ Texas-Marshal (German Edition)_05,Success,explicit_chapter,Script-Wrapped,no,no,
2026-01-27T19:30:55.518419,G. F. Unger Sonder-Edition - Folge 003_ Texas-Marshal (German Edition)_06,Success,explicit_chapter,Script-Wrapped,no,no,
2026-02-28T17:38:44.950116,000871_Vlcek_Das-Haus-Zamis-3_9783751705271_03,Error,non-chapter,None,no,no,"Error code: 404 - {'error': {'message': 'No endpoints found for deepseek/deepseek-r1-0528:free.', 'code': 404}, 'user_id': 'user_2zK4oiRZXJA8BryuPDvbkCoeD9h'}"
